id_user,user_name,location,created_at,text
1165376326267809794,TanyaKeith,"Des Moines, Iowa",2019-08-24 21:32:22,Thank you so much to everyone who is sharing my #AUnitedFront story. The love I'm getting from both @timbersarmy and @WeAreECS means so much to me. I was nervous posting this but I'm so glad I did it. https://t.co/R1OkGurd7c
1165645948929753088,DiCiccoMethod,,2019-08-25 15:23:45,"I love all the pictures, all the tweets from last night. This is what the future of the @WashSpirit looks like. This is what the future of the @NWSL looks like. This is what the future of women’s soccer looks like. Either you know this or you will. It’s inevitable. https://t.co/AGSRPuPLWe"
1165670882876035073,christinavital_,"Houston, TX",2019-08-25 17:02:50,I f love soccer.
1165588452198322176,jvsthowon,201206 이호원 제대한날,2019-08-25 11:35:17,"190825 hoya ig live

fan asked he seem to fell in love with soccer alot these days and when he read that he was like oh i love this qs!😂 he said playing soccer really gave him lot of strength these days he also he used to dream abt being a soccer player😂 https://t.co/sQZnHXsYpW"
1165673616442351616,slimsayswhat,"Johannesburg, South Africa",2019-08-25 17:13:41,"@maqondisa_maqo same bro 😂 And the idea that ALL guys LOVE soccer is so general now. I mean, it’s cool and all but it’s honestly not that deep 🤷🏽‍♂️"
1161321891044270080,DangeRussWilson,Global,2019-08-13 17:01:29,Football. Fútbol. We Love them both! @ciara and I are fired up to announce we are Team Owners of the Seattle @SoundersFC one of the best soccer franchises in the world! We can’t wait for our kids to grow up loving Soccer! Family is everything! #SoundersIsFamily ⚽️💚💙 https://t.co/LbOCt7WI5i
1165645948929753088,DiCiccoMethod,,2019-08-25 15:23:45,"I love all the pictures, all the tweets from last night. This is what the future of the @WashSpirit looks like. This is what the future of the @NWSL looks like. This is what the future of women’s soccer looks like. Either you know this or you will. It’s inevitable. https://t.co/AGSRPuPLWe"
1165671941732294658,s0ftaho,"𝚌𝚊𝚛𝚢, 𝚗𝚌 | 𝚑𝚠𝚊 '𝟸𝟶",2019-08-25 17:07:02,"my dad, an Irish immigrant who grew up during the conflict between the UK &amp; Ireland: fuCK British people they're awful &amp; denied me jobs &amp; forced me to move to the US lmao hope they enjoy Brexit

my dad, watching Liverpool play soccer: FUCK YEAH BABY I LOVE THESE MEN TAKE MY $$$"
1165645948929753088,DiCiccoMethod,,2019-08-25 15:23:45,"I love all the pictures, all the tweets from last night. This is what the future of the @WashSpirit looks like. This is what the future of the @NWSL looks like. This is what the future of women’s soccer looks like. Either you know this or you will. It’s inevitable. https://t.co/AGSRPuPLWe"
1165670882876035073,christinavital_,"Houston, TX",2019-08-25 17:02:50,I f love soccer.
1165669764624072704,badwithfeels,"Los Angeles, CA",2019-08-25 16:58:23,"@BtSquared2 Girl I just thought about having 6 children to feed st the same time and 3 of them being infants.... ISSA CURSE! 

Nah but some folks would love to have kids but we don’t necessarily want to have a whole soccer team off first try 😭😭😭"
1165659001352335362,neesh_33,,2019-08-25 16:15:37,just wanted a cute pic with my boy after the soccer game but instead we got to take stupid snap chats together in the hospital till 1 am lol glad your gunna be okay hoping for a speedy recovery I love you❤️ @macias861
1165668512645439488,jbendery,"Washington, DC",2019-08-25 16:53:25,"I love women's soccer so much, but honestly the best part of last night's match between @WashSpirit + @OrlandoPrideES was the throngs of little girls there in soccer jerseys, giddy and lined up with their posters and sharpees in the hopes that players would come over. (They did.) https://t.co/HQ3ISt2cbE"
1165668512645439488,jbendery,"Washington, DC",2019-08-25 16:53:25,"I love women's soccer so much, but honestly the best part of last night's match between @WashSpirit + @OrlandoPrideES was the throngs of little girls there in soccer jerseys, giddy and lined up with their posters and sharpees in the hopes that players would come over. (They did.) https://t.co/HQ3ISt2cbE"
1165645948929753088,DiCiccoMethod,,2019-08-25 15:23:45,"I love all the pictures, all the tweets from last night. This is what the future of the @WashSpirit looks like. This is what the future of the @NWSL looks like. This is what the future of women’s soccer looks like. Either you know this or you will. It’s inevitable. https://t.co/AGSRPuPLWe"
1165668242188361730,adiabrooks_,TX,2019-08-25 16:52:20,Me ? Actually waking up before 8? For juans soccer game? I must love him
1165668153856315392,liviiii_,United States,2019-08-25 16:51:59,@muxxi04 SAME!! Girl you know I love soccer 😭 let’s plan something
1165376326267809794,TanyaKeith,"Des Moines, Iowa",2019-08-24 21:32:22,Thank you so much to everyone who is sharing my #AUnitedFront story. The love I'm getting from both @timbersarmy and @WeAreECS means so much to me. I was nervous posting this but I'm so glad I did it. https://t.co/R1OkGurd7c
1165376326267809794,TanyaKeith,"Des Moines, Iowa",2019-08-24 21:32:22,Thank you so much to everyone who is sharing my #AUnitedFront story. The love I'm getting from both @timbersarmy and @WeAreECS means so much to me. I was nervous posting this but I'm so glad I did it. https://t.co/R1OkGurd7c
1165666099532357633,gridironbaby,,2019-08-25 16:43:49,@YesImThatNikki And what about our champion softball team &amp; soccer teams??!!!! I thought we might actually get a little love from the ACC Network!
1165588452198322176,jvsthowon,201206 이호원 제대한날,2019-08-25 11:35:17,"190825 hoya ig live

fan asked he seem to fell in love with soccer alot these days and when he read that he was like oh i love this qs!😂 he said playing soccer really gave him lot of strength these days he also he used to dream abt being a soccer player😂 https://t.co/sQZnHXsYpW"
1165663625329225730,aspensierra0829,Ohio ,2019-08-25 16:33:59,"I love that Sarah and her fiancé invite me to third wheel everywhere 😂 soccer games, dates, hiking everything lol"
1165661765020999681,fryingsausage,in a tree,2019-08-25 16:26:36,me as i watch kaze ga tsuyoku fuiteiru because haikyuu s3 left me dead. still hoping for a really good soccer anime 🙃 though tbh i actually love real soccer ⚽️ https://t.co/zRvLcfgseZ
1165661550125801473,sparklyfunyay,,2019-08-25 16:25:45,"@oldricecooker I think the jock because of his soccer (&amp; now gym going) love, but IDK who else would be the nerd. Definitely not Baekhyun. XD"
1165588452198322176,jvsthowon,201206 이호원 제대한날,2019-08-25 11:35:17,"190825 hoya ig live

fan asked he seem to fell in love with soccer alot these days and when he read that he was like oh i love this qs!😂 he said playing soccer really gave him lot of strength these days he also he used to dream abt being a soccer player😂 https://t.co/sQZnHXsYpW"
1165588452198322176,jvsthowon,201206 이호원 제대한날,2019-08-25 11:35:17,"190825 hoya ig live

fan asked he seem to fell in love with soccer alot these days and when he read that he was like oh i love this qs!😂 he said playing soccer really gave him lot of strength these days he also he used to dream abt being a soccer player😂 https://t.co/sQZnHXsYpW"
1165661287348690945,Efried97,,2019-08-25 16:24:42,I low key love that nagelsmann dresses like a European tourist in NYC to manage soccer games https://t.co/7emyT17eJG
1165659178553106432,LyonAlexander,"Indianapolis, IN",2019-08-25 16:16:19,I love weekend soccer betting. Gives me life.
1165659104506974208,brandi__mae,"ÜT: 36.064488,-79.902275",2019-08-25 16:16:02,"@monetxchange @LaraSpencer I took the statement “we’ll see how long that lasts” as kids change their minds and what they love regularly. It may be ballet this year, interpretive dance the next, figure skating, soccer, you name it. Kids are always learning and exploring."
1165659001352335362,neesh_33,,2019-08-25 16:15:37,just wanted a cute pic with my boy after the soccer game but instead we got to take stupid snap chats together in the hospital till 1 am lol glad your gunna be okay hoping for a speedy recovery I love you❤️ @macias861
1165658837573132288,AmechokaPunda,,2019-08-25 16:14:58,"@WehliyeMohamed @alykhansatchu @ahmednasirlaw I love sports... rugby, soccer, basketball, hockey, athletics, volleyball, boxing, formula 1...... ., lakini cricket imenilemea kuwoch!"
1165657162632355840,angelanix23,"Buffalo, NY #gobills",2019-08-25 16:08:19,Newcastle has 22% possession and is up 1-0. I love that about soccer. #TOTNEW
1165657162632355840,angelanix23,"Buffalo, NY #gobills",2019-08-25 16:08:19,Newcastle has 22% possession and is up 1-0. I love that about soccer. #TOTNEW
1165656517296738306,Emfox_17,,2019-08-25 16:05:45,"I absolutely LOVE when soccer moms try to fight me on prices :,)"
1165655638476804098,SoccerHeretic,"Florida, USA",2019-08-25 16:02:15,"@AlanWindham Not at all, I love football. He'll man, you've followed me long enough I think you realize how much CFB I watch after soccer every Saturday in the fall. https://t.co/26tC0ChPmk"
1165655553047183363,MartinovDelia,"Commerce, MI",2019-08-25 16:01:55,"@ColumbusCrewSC @Nordecke That's why I love my MLS Soccer teams like, Detroit FC, Cincinnati FC &amp; Columbus DC, Atlanta United, Orlando City FC &amp; DC United &amp; Bundelisga"
1165654232134868992,AlexRibbleBlog,"Los Angeles, CA",2019-08-25 15:56:40,"I love watching my 15/yo daughter play soccer. 

Her on-field approach is always tough and no nonsense. 

All business, all game face. Love the intensity."
